"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\ReeyaEcommerce\admin\add-admin.php", "PHP", 79, 0, 0, 11, 11, 101
"c:\xampp\htdocs\ReeyaEcommerce\admin\add-redeem.php", "PHP", 83, 0, 0, 11, 11, 105
"c:\xampp\htdocs\ReeyaEcommerce\admin\admin.php", "PHP", 86, 0, 0, 14, 17, 117
"c:\xampp\htdocs\ReeyaEcommerce\admin\css\404.css", "CSS", 0, 0, 101, 2, 4, 107
"c:\xampp\htdocs\ReeyaEcommerce\admin\css\style.css", "CSS", 0, 0, 109, 0, 0, 109
"c:\xampp\htdocs\ReeyaEcommerce\admin\edit-redeem.php", "PHP", 95, 0, 0, 11, 13, 119
"c:\xampp\htdocs\ReeyaEcommerce\admin\include\sidebar.php", "PHP", 64, 0, 0, 10, 10, 84
"c:\xampp\htdocs\ReeyaEcommerce\admin\index.php", "PHP", 23, 0, 0, 0, 5, 28
"c:\xampp\htdocs\ReeyaEcommerce\admin\orders.php", "PHP", 60, 0, 0, 4, 6, 70
"c:\xampp\htdocs\ReeyaEcommerce\admin\payments.php", "PHP", 60, 0, 0, 4, 6, 70
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\add-admin.php", "PHP", 24, 0, 0, 0, 6, 30
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\add-redeem.php", "PHP", 25, 0, 0, 0, 7, 32
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\admin-login.php", "PHP", 5, 0, 0, 1, -1, 5
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\change-admin-status.php", "PHP", 27, 0, 0, 3, 9, 39
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\change-user-status.php", "PHP", 27, 0, 0, 3, 9, 39
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\delete-redeem.php", "PHP", 9, 0, 0, 0, 0, 9
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\edit-redeem.php", "PHP", 26, 0, 0, 0, 6, 32
"c:\xampp\htdocs\ReeyaEcommerce\admin\php\update-admin.php", "PHP", 22, 0, 0, 0, 5, 27
"c:\xampp\htdocs\ReeyaEcommerce\admin\products.php", "PHP", 2, 0, 0, 0, 0, 2
"c:\xampp\htdocs\ReeyaEcommerce\admin\redeem-code.php", "PHP", 85, 0, 0, 12, 16, 113
"c:\xampp\htdocs\ReeyaEcommerce\admin\settings.php", "PHP", 75, 0, 0, 11, 15, 101
"c:\xampp\htdocs\ReeyaEcommerce\admin\users.php", "PHP", 61, 0, 0, 4, 5, 70
"c:\xampp\htdocs\ReeyaEcommerce\cart.php", "PHP", 21, 0, 0, 2, 4, 27
"c:\xampp\htdocs\ReeyaEcommerce\checkout.php", "PHP", 82, 0, 0, 8, 14, 104
"c:\xampp\htdocs\ReeyaEcommerce\css\style.css", "CSS", 0, 0, 113, 2, 0, 115
"c:\xampp\htdocs\ReeyaEcommerce\includes\footer.php", "PHP", 0, 0, 0, 0, 2, 2
"c:\xampp\htdocs\ReeyaEcommerce\includes\header.php", "PHP", 48, 0, 0, 7, 6, 61
"c:\xampp\htdocs\ReeyaEcommerce\includes\navbar.php", "PHP", 41, 0, 0, 4, 11, 56
"c:\xampp\htdocs\ReeyaEcommerce\index.php", "PHP", -338, 0, 0, 1, 3, -334
"c:\xampp\htdocs\ReeyaEcommerce\js\cartCalculation.js", "JavaScript", 0, 18, 0, 0, 5, 23
"c:\xampp\htdocs\ReeyaEcommerce\js\signinValidation.js", "JavaScript", 0, 13, 0, 0, -3, 10
"c:\xampp\htdocs\ReeyaEcommerce\js\signupValidation.js", "JavaScript", 0, 23, 0, 2, 3, 28
"c:\xampp\htdocs\ReeyaEcommerce\php\add-to-cart.php", "PHP", 79, 0, 0, 14, 23, 116
"c:\xampp\htdocs\ReeyaEcommerce\php\add-wishlist.php", "PHP", 36, 0, 0, 5, 9, 50
"c:\xampp\htdocs\ReeyaEcommerce\php\delete-wishlist.php", "PHP", 28, 0, 0, 3, 8, 39
"c:\xampp\htdocs\ReeyaEcommerce\php\delete_from_cart.php", "PHP", 31, 0, 0, 2, 10, 43
"c:\xampp\htdocs\ReeyaEcommerce\php\move-all-to-cart.php", "PHP", 46, 0, 0, 7, 11, 64
"c:\xampp\htdocs\ReeyaEcommerce\php\redeem_coupon.php", "PHP", 30, 0, 0, 4, 6, 40
"c:\xampp\htdocs\ReeyaEcommerce\php\update-cart.php", "PHP", 40, 0, 0, 4, 10, 54
"c:\xampp\htdocs\ReeyaEcommerce\php\user-login.php", "PHP", 33, 0, 0, 5, 7, 45
"c:\xampp\htdocs\ReeyaEcommerce\php\user-signup.php", "PHP", 36, 0, 0, 5, 8, 49
"c:\xampp\htdocs\ReeyaEcommerce\verify-user.php", "PHP", 175, 0, 0, 7, 31, 213
"c:\xampp\htdocs\ReeyaEcommerce\wishlist.php", "PHP", -108, 0, 0, 0, 7, -101
"Total", "-", 1218, 54, 323, 183, 335, 2113
