"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\ReeyaEcommerce\404.html", "HTML", 0, 0, 0, 0, 0, 1195, 5, 8, 1208
"c:\xampp\htdocs\ReeyaEcommerce\about.php", "PHP", 133, 0, 0, 0, 0, 0, 0, 8, 141
"c:\xampp\htdocs\ReeyaEcommerce\account.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\xampp\htdocs\ReeyaEcommerce\admin\add-admin.php", "PHP", 79, 0, 0, 0, 0, 0, 11, 11, 101
"c:\xampp\htdocs\ReeyaEcommerce\admin\add-category.php", "PHP", 75, 0, 0, 0, 0, 0, 11, 11, 97
"c:\xampp\htdocs\ReeyaEcommerce\admin\add-product.php", "PHP", 150, 0, 0, 0, 0, 0, 14, 17, 181
"c:\xampp\htdocs\ReeyaEcommerce\admin\add-redeem.php", "PHP", 83, 0, 0, 0, 0, 0, 11, 11, 105
"c:\xampp\htdocs\ReeyaEcommerce\admin\admin.php", "PHP", 86, 0, 0, 0, 0, 0, 14, 17, 117
"c:\xampp\htdocs\ReeyaEcommerce\admin\category.php", "PHP", 79, 0, 0, 0, 0, 0, 12, 16, 107
"c:\xampp\htdocs\ReeyaEcommerce\admin\css\404.css", "CSS", 0, 0, 0, 0, 101, 0, 2, 4, 107
"c:\xampp\htdocs\ReeyaEcommerce\admin\css\style.css", "CSS", 0, 0, 0, 0, 564, 0, 2, 58, 624
"c:\xampp\htdocs\ReeyaEcommerce\admin\edit-category.php", "PHP", 83, 0, 0, 0, 0, 0, 11, 12, 106
"c:\xampp\htdocs\ReeyaEcommerce\admin\edit-product.php", "PHP", 117, 0, 0, 0, 0, 0, 11, 14, 142
"c:\xampp\htdocs\ReeyaEcommerce\admin\edit-redeem.php", "PHP", 95, 0, 0, 0, 0, 0, 11, 13, 119
"c:\xampp\htdocs\ReeyaEcommerce\admin\include\bottom.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\xampp\htdocs\ReeyaEcommerce\admin\include\logout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\xampp\htdocs\ReeyaEcommerce\admin\include\sidebar.php", "PHP", 128, 0, 0, 0, 0, 0, 10, 15, 153
"c:\xampp\htdocs\ReeyaEcommerce\admin\index.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 12, 89
"c:\xampp\htdocs\ReeyaEcommerce\admin\js\datatable.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 12, 63
"c:\xampp\htdocs\ReeyaEcommerce\admin\js\index.js", "JavaScript", 0, 0, 0, 14, 0, 0, 1, 7, 22
"c:\xampp\htdocs\ReeyaEcommerce\admin\login.php", "PHP", 116, 0, 0, 0, 0, 0, 3, 16, 135
"c:\xampp\htdocs\ReeyaEcommerce\admin\orders.php", "PHP", 91, 0, 0, 0, 0, 0, 12, 19, 122
